## Net Worth
Date,Gotówka (PLN|asset),Inwestycje (PLN|asset),Samochód (PLN|asset),Mieszkanie (PLN|asset),Euro (EUR|asset),Kredyt hipoteczny (PLN|liability)
2025-01-01,10000.00,4500.00,15000.00,500000.00,1800.00,300000.00
2025-02-01,9800.45,4324.33,15000.00,500000.00,1800.00,298000.00
2025-03-01,10430.20,4800.20,15000.00,500000.00,1900.00,296000.00
2025-04-01,6543.89,5612.22,15000.00,500000.00,2000.00,294000.00
2025-05-01,7899.45,5512.34,15000.00,500000.00,2000.00,292000.00
2025-06-01,9100.23,5309.80,15000.00,500000.00,2000.00,290000.00

## Properties
Property Name,Category Type,Value,Date,Description
Ładna 23,rent,700.00,2025-07-01 18:43:07,
Ładna 23,electricity,150.00,2025-07-03 18:43:44,
